Ranking,Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $)
0,Star Wars: Episode VII - The Force Awakens (2015),12/16/2015,"$936,662,225.00 ","$1,132,859,475.00 ","$2,069,521,700.00 "
2,Avatar (2009),12/16/2009,"$760,507,625.00 ","$2,086,738,578.00 ","$2,847,246,203.00 "
6,Titanic (1997),12/19/1997,"$659,363,944.00 ","$1,542,283,320.00 ","$2,201,647,264.00 "
7,Jurassic World (2015),6/10/2015,"$652,385,625.00 ","$1,018,130,819.00 ","$1,670,516,444.00 "
9,Star Wars: Episode VIII - The Last Jedi (2017),12/13/2017,"$620,181,382.00 ","$712,517,448.00 ","$1,332,698,830.00 "
11,The Lion King (2019),7/11/2019,"$543,638,043.00 ","$1,119,261,396.00 ","$1,662,899,439.00 "
12,The Dark Knight (2008),7/16/2008,"$534,858,444.00 ","$471,115,201.00 ","$1,005,973,645.00 "
13,Rogue One: A Star Wars Story (2016),12/14/2016,"$532,177,324.00 ","$523,880,396.00 ","$1,056,057,720.00 "
14,Star Wars: Episode IX - The Rise of Skywalker (2019),12/18/2019,"$515,202,542.00 ","$558,946,737.00 ","$1,074,149,279.00 "
17,Frozen II (2019),11/20/2019,"$477,373,578.00 ","$972,653,355.00 ","$1,450,026,933.00 "
21,The Dark Knight Rises (2012),7/19/2012,"$448,139,099.00 ","$633,003,513.00 ","$1,081,142,612.00 "
23,E.T. the Extra-Terrestrial (1982),6/11/1982,"$435,110,554.00 ","$304,203,888.00 ","$792,910,554.00 "
24,Toy Story 4 (2019),6/20/2019,"$434,038,008.00 ","$639,356,585.00 ","$1,073,394,593.00 "
26,The Hunger Games: Catching Fire (2013),11/15/2013,"$424,668,047.00 ","$440,343,699.00 ","$865,011,746.00 "
27,Pirates of the Caribbean: Dead Man's Chest (2006),7/6/2006,"$423,315,812.00 ","$642,863,935.00 ","$1,066,179,747.00 "
28,The Lion King (1994),6/15/1994,"$422,783,777.00 ","$640,828,028.00 ","$1,063,611,805.00 "
29,Jurassic World: Fallen Kingdom (2018),6/6/2018,"$417,719,760.00 ","$892,746,536.00 ","$1,310,466,296.00 "
30,Toy Story 3 (2010),6/16/2010,"$415,004,880.00 ","$651,965,931.00 ","$1,066,970,811.00 "
36,Jumanji: Welcome to the Jungle (2017),12/20/2017,"$404,540,171.00 ","$558,002,774.00 ","$962,542,945.00 "
37,Jurassic Park (1993),6/11/1993,"$404,214,720.00 ","$629,713,583.00 ","$1,033,928,303.00 "
38,Transformers: Revenge of the Fallen (2009),6/19/2009,"$402,111,870.00 ","$434,191,823.00 ","$836,303,693.00 "
39,Frozen (2013),11/22/2013,"$400,953,009.00 ","$880,555,091.00 ","$1,281,508,100.00 "
40,Spider-Man: Far from Home (2019),6/28/2019,"$390,532,085.00 ","$741,395,911.00 ","$1,131,927,996.00 "
45,The Lord of the Rings: The Return of the King (2003),12/17/2003,"$377,845,905.00 ","$768,185,007.00 ","$1,146,030,912.00 "
46,Spider-Man 2 (2004),6/30/2004,"$373,585,825.00 ","$415,390,628.00 ","$788,976,453.00 "
48,The Secret Life of Pets (2016),6/24/2016,"$368,384,330.00 ","$507,074,301.00 ","$875,458,631.00 "
49,Despicable Me 2 (2013),6/20/2013,"$368,065,385.00 ","$602,700,620.00 ","$970,766,005.00 "
52,Inside Out (2015),6/10/2015,"$356,921,711.00 ","$501,926,308.00 ","$858,848,019.00 "
55,Transformers: Dark of the Moon (2011),6/29/2011,"$352,390,543.00 ","$771,403,536.00 ","$1,123,794,079.00 "
56,American Sniper (2014),12/25/2014,"$350,126,372.00 ","$197,300,000.00 ","$547,426,372.00 "
57,The Lord of the Rings: The Two Towers (2002),12/18/2002,"$342,551,365.00 ","$604,943,730.00 ","$947,495,095.00 "
59,The Hunger Games: Mockingjay - Part 1 (2014),11/19/2014,"$337,135,885.00 ","$418,220,826.00 ","$755,356,711.00 "
64,Spider-Man: Homecoming (2017),7/5/2017,"$334,201,140.00 ","$545,965,784.00 ","$880,166,924.00 "
66,Guardians of the Galaxy (2014),7/30/2014,"$333,718,600.00 ","$439,631,547.00 ","$773,350,147.00 "
67,Forrest Gump (1994),7/6/1994,"$330,455,270.00 ","$347,770,863.00 ","$678,226,133.00 "
70,Suicide Squad (2016),8/3/2016,"$325,100,054.00 ","$421,746,840.00 ","$746,846,894.00 "
73,Jumanji: The Next Level (2019),12/4/2019,"$320,314,960.00 ","$479,744,747.00 ","$800,059,707.00 "
74,Transformers (2007),6/28/2007,"$319,246,193.00 ","$390,463,587.00 ","$709,709,780.00 "
