Ranking,Title,Release Date,World Sales
0,Star Wars: Episode VII - The Force Awakens (2015),12/16/2015,2069521700
2,Avatar (2009),12/16/2009,2847246203
6,Titanic (1997),12/19/1997,2201647264
7,Jurassic World (2015),6/10/2015,1670516444
9,Star Wars: Episode VIII - The Last Jedi (2017),12/13/2017,1332698830
11,The Lion King (2019),7/11/2019,1662899439
12,The Dark Knight (2008),7/16/2008,1005973645
13,Rogue One: A Star Wars Story (2016),12/14/2016,1056057720
14,Star Wars: Episode IX - The Rise of Skywalker (2019),12/18/2019,1074149279
17,Frozen II (2019),11/20/2019,1450026933
21,The Dark Knight Rises (2012),7/19/2012,1081142612
23,E.T. the Extra-Terrestrial (1982),6/11/1982,792910554
24,Toy Story 4 (2019),6/20/2019,1073394593
26,The Hunger Games: Catching Fire (2013),11/15/2013,865011746
27,Pirates of the Caribbean: Dead Man's Chest (2006),7/6/2006,1066179747
28,The Lion King (1994),6/15/1994,1063611805
29,Jurassic World: Fallen Kingdom (2018),6/6/2018,1310466296
30,Toy Story 3 (2010),6/16/2010,1066970811
36,Jumanji: Welcome to the Jungle (2017),12/20/2017,962542945
37,Jurassic Park (1993),6/11/1993,1033928303
38,Transformers: Revenge of the Fallen (2009),6/19/2009,836303693
39,Frozen (2013),11/22/2013,1281508100
40,Spider-Man: Far from Home (2019),6/28/2019,1131927996
45,The Lord of the Rings: The Return of the King (2003),12/17/2003,1146030912
46,Spider-Man 2 (2004),6/30/2004,788976453
48,The Secret Life of Pets (2016),6/24/2016,875458631
49,Despicable Me 2 (2013),6/20/2013,970766005
52,Inside Out (2015),6/10/2015,858848019
55,Transformers: Dark of the Moon (2011),6/29/2011,1123794079
56,American Sniper (2014),12/25/2014,547426372
57,The Lord of the Rings: The Two Towers (2002),12/18/2002,947495095
59,The Hunger Games: Mockingjay - Part 1 (2014),11/19/2014,755356711
64,Spider-Man: Homecoming (2017),7/5/2017,880166924
66,Guardians of the Galaxy (2014),7/30/2014,773350147
67,Forrest Gump (1994),7/6/1994,678226133
70,Suicide Squad (2016),8/3/2016,746846894
73,Jumanji: The Next Level (2019),12/4/2019,800059707
74,Transformers (2007),6/28/2007,709709780
76,Harry Potter and the Sorcerer's Stone (2001),11/16/2001,1016813075
78,The Lord of the Rings: The Fellowship of the Ring (2001),12/19/2001,897690072
84,Independence Day (1996),7/3/1996,817400891
85,Pirates of the Caribbean: The Curse of the Black Pearl (2003),7/9/2003,654264015
88,Harry Potter and the Half-Blood Prince (2009),7/15/2009,934454096
89,The Twilight Saga: Eclipse (2010),6/30/2010,698491347
90,The Twilight Saga: New Moon (2009),11/18/2009,711025481
92,The Sixth Sense (1999),8/6/1999,672806432
95,Inception (2010),7/15/2010,836836967
96,Harry Potter and the Order of the Phoenix (2007),7/11/2007,942172396
97,The Twilight Saga: Breaking Dawn - Part 2 (2012),11/14/2012,829747654
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",12/7/2005,745013115
99,Man of Steel (2013),6/12/2013,668045518
100,"Monsters, Inc. (2001)",11/2/2001,579707738
101,Harry Potter and the Goblet of Fire (2005),11/16/2005,896678241
102,Home Alone (1990),11/16/1990,476684675
103,The Hunger Games: Mockingjay - Part 2 (2015),11/18/2015,658344137
105,The Twilight Saga: Breaking Dawn - Part 1 (2011),11/16/2011,712205856
106,Meet the Fockers (2004),12/22/2004,522657936
107,The Hangover (2009),6/5/2009,469310836
109,The Grinch (2018),11/7/2018,512568819
110,Sing (2016),12/2/2016,634208384
113,Despicable Me 3 (2017),6/14/2017,1034800131
114,Harry Potter and the Chamber of Secrets (2002),11/14/2002,879602366
115,The Amazing Spider-Man (2012),6/28/2012,757930663
116,The Incredibles (2004),11/5/2004,631607053
117,Jaws (1975),6/20/1975,471411300
118,How the Grinch Stole Christmas (2000),11/17/2000,345573032
123,I Am Legend (2007),12/12/2007,585410052
124,The Blind Side (2009),11/20/2009,309208309
127,Despicable Me (2010),7/8/2010,543113985
128,Batman (1989),6/23/1989,411508343
130,Men in Black (1997),7/2/1997,589390539
